               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07586,             0.03999,                   0,          0.00058333,               0.175,          0.00049379,          7.5862e-05,            0.082245,            0.019586,                   0,            0.076311,           0.0004804,           0.0004804
                   1,            0.062809,            0.039846,                   0,           0.0015833,               0.475,           0.0029341,          0.00051133,            0.080127,            0.021918,                   0,             0.07296,           0.0010788,           0.0010788
                   2,             0.05438,            0.042026,                   0,           0.0030833,               0.925,             0.31166,            0.088392,            0.091926,            0.018608,                   0,            0.069606,           0.0016747,           0.0016747
                   3,            0.050055,            0.045532,                   0,             0.29342,              0.4875,             0.32467,             0.11463,             0.10511,             0.13159,                   0,             0.06625,           0.0022683,           0.0022683
                   4,            0.043115,            0.044058,                   0,            0.011311,              0.3875,            0.017471,           0.0036592,             0.10965,              1.0569,                   0,            0.062892,           0.0028596,           0.0028596
                   5,            0.043985,            0.044525,                   0,                   0,                   0,                   0,                   0,             0.12724,              5.8993,                   0,            0.059531,           0.0034484,           0.0034484
                   6,            0.043423,            0.042217,                   0,                   0,                   0,                   0,                   0,             0.12761,               4.304,                   0,            0.056168,           0.0040349,           0.0040349
                   7,            0.037795,            0.044796,                   0,             0.11098,               0.475,             0.10432,            0.022709,             0.08723,              1.2939,                   0,            0.052803,            0.004619,            0.004619
                   8,            0.042213,            0.041763,                   0,                   0,                   0,                   0,                   0,             0.11711,              7.4032,                   0,            0.049435,           0.0052007,           0.0052007
                   9,            0.040577,            0.040099,                   0,          0.00033594,                 0.1,          0.00018437,          6.4534e-05,            0.095429,             0.97506,                   0,            0.046065,           0.0057801,           0.0057801
                  10,            0.039767,            0.041451,                   0,             0.05801,               0.475,            0.063051,            0.017002,             0.08495,             0.60506,                   0,            0.042692,            0.006357,            0.006357
                  11,            0.039524,            0.038424,                   0,          4.1783e-05,              0.0125,          2.1193e-05,          2.1193e-06,            0.084331,              8.7264,                   0,            0.039318,           0.0069316,           0.0069316
                  12,             0.03747,            0.041677,                   0,          0.00066722,                 0.2,          0.00043774,          0.00011596,             0.10693,              14.764,                   0,             0.03594,           0.0075038,           0.0075038
                  13,            0.036301,            0.042156,                   0,          0.00045683,               0.125,          0.00024094,           4.953e-05,              0.1062,              3.7912,                   0,            0.032561,           0.0080737,           0.0080737
                  14,            0.036846,            0.045601,                   0,           0.0041855,                 0.2,           0.0025089,          0.00063356,             0.13061,                 nan,                   0,            0.029179,           0.0086411,           0.0086411
                  15,            0.038612,            0.040388,                   0,            0.090757,              0.2125,             0.04084,            0.013159,                 nan,                 nan,                   0,            0.025794,           0.0092062,           0.0092062
                  16,             0.03561,            0.041309,                   0,                0.25,              0.0375,            0.017735,           0.0062932,             0.11687,                 nan,                   0,            0.022407,           0.0097689,           0.0097689
                  17,            0.038822,            0.038418,                   0,          0.00079865,               0.225,          0.00047278,          0.00020235,             0.11785,              21.997,                   0,            0.019018,            0.010329,            0.010329
                  18,            0.034936,             0.03986,                   0,            0.014745,              0.1375,           0.0074983,           0.0023234,            0.087134,              1.0019,                   0,            0.015627,            0.010887,            0.010887
                  19,            0.032957,            0.037994,                   0,             0.02925,                0.05,            0.012976,           0.0040792,            0.085054,             0.10192,                   0,            0.012233,            0.011443,            0.011443
                  20,            0.031833,            0.041298,                   0,            0.072993,               0.125,            0.051532,            0.018035,            0.078796,              1.3441,                   0,            0.011535,            0.011535,            0.011535
                  21,            0.035841,            0.036695,                   0,             0.12676,               0.275,             0.14963,             0.04287,            0.062964,             0.29681,                   0,            0.011535,            0.011535,            0.011535
                  22,            0.031942,            0.038441,                   0,            0.010317,              0.0625,           0.0054772,           0.0020072,             0.06574,               0.183,                   0,            0.011511,            0.011511,            0.011511
                  23,            0.032717,            0.038681,                   0,            0.013257,              0.0625,           0.0034158,          0.00070642,            0.068914,             0.17977,                   0,            0.011487,            0.011487,            0.011487
                  24,            0.033303,             0.03813,                   0,              0.1822,                 0.2,             0.12012,            0.046192,            0.059113,            0.044738,                   0,            0.011463,            0.011463,            0.011463
                  25,            0.031556,            0.037703,                   0,              0.2408,               0.475,             0.25848,            0.077623,            0.049247,            0.063672,                   0,            0.011439,            0.011439,            0.011439
                  26,            0.030054,            0.036458,                   0,             0.11125,              0.1875,             0.12437,            0.036797,            0.058327,            0.049734,                   0,            0.011416,            0.011416,            0.011416
                  27,            0.031982,            0.036402,                   0,             0.24148,              0.4375,              0.2501,             0.06296,            0.054954,            0.047766,                   0,            0.011392,            0.011392,            0.011392
                  28,             0.03217,            0.037224,                   0,             0.25783,                 0.5,              0.2328,            0.085002,            0.041079,             0.14874,                   0,            0.011368,            0.011368,            0.011368
                  29,            0.030965,            0.038466,                   0,             0.25157,              0.3125,             0.19791,            0.051447,            0.046587,             0.11775,                   0,            0.011344,            0.011344,            0.011344
                  30,            0.025972,             0.03918,                   0,             0.37122,                 0.3,             0.33602,             0.11073,            0.040587,            0.077238,                   0,            0.011321,            0.011321,            0.011321
                  31,            0.026753,            0.036749,                   0,            0.024943,              0.4875,            0.019536,            0.008401,            0.044519,            0.048382,                   0,            0.011297,            0.011297,            0.011297
                  32,            0.027711,            0.036234,                   0,             0.65643,             0.40607,             0.43259,             0.12898,            0.034046,            0.040761,                   0,            0.011273,            0.011273,            0.011273
                  33,            0.026065,            0.038858,                   0,             0.64337,              0.5875,             0.62973,             0.18062,            0.038078,            0.056438,                   0,            0.011249,            0.011249,            0.011249
                  34,            0.030283,            0.037572,                   0,             0.35326,              0.5625,             0.30339,             0.11176,            0.034801,            0.036516,                   0,            0.011226,            0.011226,            0.011226
