               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075967,            0.039599,                   0,             0.00175,               0.525,           0.0019629,          0.00031602,            0.085043,            0.018183,                   0,            0.076311,           0.0004804,           0.0004804
                   1,            0.061803,             0.04027,                   0,            0.003125,              0.9375,             0.22993,            0.052681,            0.060873,            0.027077,                   0,             0.07296,           0.0010788,           0.0010788
                   2,            0.052432,            0.043241,                   0,             0.17737,              0.5375,             0.22808,            0.048185,            0.077196,            0.025665,                   0,            0.069606,           0.0016747,           0.0016747
                   3,            0.044494,            0.047876,                   0,           0.0069111,               0.075,           0.0019927,          0.00029078,             0.10817,            0.077505,                   0,             0.06625,           0.0022683,           0.0022683
                   4,            0.044539,            0.042805,                   0,             0.06528,              0.1875,            0.031193,            0.011061,            0.097864,             0.23323,                   0,            0.062892,           0.0028596,           0.0028596
                   5,            0.040075,            0.045991,                   0,           0.0038333,              0.8875,           0.0062909,           0.0020696,            0.093114,              1.9406,                   0,            0.059531,           0.0034484,           0.0034484
                   6,            0.040692,            0.042802,                   0,           0.0040138,              0.9375,           0.0058152,           0.0021342,            0.086363,              3.3555,                   0,            0.056168,           0.0040349,           0.0040349
                   7,            0.038257,            0.042108,                   0,           0.0035237,                0.85,           0.0039707,           0.0017026,             0.06609,              1.8233,                   0,            0.052803,            0.004619,            0.004619
                   8,            0.040883,             0.03865,                   0,            0.001679,              0.4125,           0.0013831,          0.00038118,            0.092542,              1.8116,                   0,            0.049435,           0.0052007,           0.0052007
                   9,            0.038547,            0.039933,                   0,           0.0029251,              0.7375,           0.0025717,          0.00082704,             0.11976,             0.66735,                   0,            0.046065,           0.0057801,           0.0057801
                  10,            0.042809,            0.041263,                   0,             0.04878,               0.025,           0.0099035,           0.0022647,             0.09255,              2.1933,                   0,            0.042692,            0.006357,            0.006357
                  11,             0.04009,            0.039057,                   0,          0.00093809,              0.0125,          5.9735e-05,          5.9735e-06,             0.12647,              6.7482,                   0,            0.039318,           0.0069316,           0.0069316
                  12,            0.039381,            0.039587,                   0,           0.0022558,               0.525,           0.0016395,          0.00055139,             0.11395,              35.155,                   0,             0.03594,           0.0075038,           0.0075038
                  13,            0.036394,            0.042086,                   0,          0.00029205,              0.0875,          0.00015898,          4.6654e-05,            0.086116,              4.0137,                   0,            0.032561,           0.0080737,           0.0080737
                  14,             0.03904,            0.040182,                   0,             0.18571,              0.1625,            0.063046,            0.013553,            0.095687,             0.48736,                   0,            0.029179,           0.0086411,           0.0086411
                  15,            0.039572,            0.038362,                   0,          0.00095694,              0.0125,          0.00048704,          4.8704e-05,              0.1231,             0.98764,                   0,            0.025794,           0.0092062,           0.0092062
                  16,            0.036135,            0.040456,                   0,          0.00015535,              0.0125,          6.6231e-05,          1.1095e-05,             0.10457,             0.21045,                   0,            0.022407,           0.0097689,           0.0097689
                  17,            0.037695,            0.036786,                   0,          0.00095782,              0.0625,          0.00032979,          0.00011159,             0.10585,             0.45595,                   0,            0.019018,            0.010329,            0.010329
                  18,            0.036156,            0.038833,                   0,           0.0013612,              0.0125,          0.00071095,           0.0001317,            0.097196,             0.40962,                   0,            0.015627,            0.010887,            0.010887
                  19,            0.034341,            0.037576,                   0,            0.012436,              0.4398,           0.0091154,           0.0025383,            0.063057,             0.10195,                   0,            0.012233,            0.011443,            0.011443
                  20,            0.031763,            0.039174,                   0,           0.0042767,              0.1125,           0.0018886,           0.0004606,            0.081411,             0.21706,                   0,            0.011535,            0.011535,            0.011535
                  21,            0.032101,            0.036771,                   0,            0.039685,              0.1125,            0.021096,           0.0069448,            0.069416,             0.11792,                   0,            0.011535,            0.011535,            0.011535
                  22,            0.031467,            0.038092,                   0,            0.061491,              0.0625,            0.017828,           0.0028193,            0.075146,             0.27508,                   0,            0.011511,            0.011511,            0.011511
                  23,            0.034579,            0.037252,                   0,             0.24558,               0.225,             0.16229,             0.03654,             0.04864,            0.088321,                   0,            0.011487,            0.011487,            0.011487
                  24,            0.032555,            0.037392,                   0,             0.36013,              0.3875,             0.30039,            0.096324,            0.055731,            0.065379,                   0,            0.011463,            0.011463,            0.011463
                  25,            0.029593,            0.037467,                   0,            0.011201,              0.0375,           0.0019653,          0.00034525,             0.08491,             0.29298,                   0,            0.011439,            0.011439,            0.011439
                  26,            0.031124,            0.036416,                   0,           0.0096478,              0.2625,           0.0053766,           0.0011455,            0.067905,             0.41719,                   0,            0.011416,            0.011416,            0.011416
                  27,            0.031273,            0.036268,                   0,              0.1317,              0.4625,             0.10714,            0.026421,            0.053396,            0.055964,                   0,            0.011392,            0.011392,            0.011392
                  28,            0.031069,            0.036461,                   0,            0.061396,              0.1625,            0.025772,           0.0068665,            0.084009,            0.055624,                   0,            0.011368,            0.011368,            0.011368
                  29,            0.029144,            0.038635,                   0,             0.57797,               0.575,             0.56142,             0.19104,            0.043982,            0.031859,                   0,            0.011344,            0.011344,            0.011344
                  30,            0.027498,            0.038153,                   0,              0.4587,               0.675,             0.47672,             0.16103,            0.050079,            0.039702,                   0,            0.011321,            0.011321,            0.011321
                  31,            0.024529,            0.036334,                   0,              0.5941,              0.6375,             0.64906,             0.28581,            0.027498,            0.039433,                   0,            0.011297,            0.011297,            0.011297
                  32,            0.025923,            0.036568,                   0,             0.34811,              0.5125,             0.31317,             0.09613,            0.030047,            0.044168,                   0,            0.011273,            0.011273,            0.011273
                  33,            0.028027,            0.036915,                   0,             0.39119,              0.4125,             0.41371,              0.1351,            0.029308,            0.043046,                   0,            0.011249,            0.011249,            0.011249
                  34,            0.026909,            0.036662,                   0,             0.61424,              0.4625,             0.47138,             0.13048,            0.045804,            0.031306,                   0,            0.011226,            0.011226,            0.011226
                  35,            0.025474,            0.036181,                   0,             0.51337,              0.6125,             0.55461,             0.21209,            0.033673,            0.034698,                   0,            0.011202,            0.011202,            0.011202
                  36,            0.024689,            0.036723,                   0,             0.55541,               0.375,             0.40047,             0.13869,            0.051004,            0.027211,                   0,            0.011178,            0.011178,            0.011178
                  37,            0.023994,            0.038526,                   0,             0.12338,              0.0125,           0.0037067,           0.0005016,            0.087923,            0.030413,                   0,            0.011154,            0.011154,            0.011154
                  38,            0.024367,            0.036202,                   0,             0.45102,                 0.3,             0.26136,            0.074248,            0.049281,            0.033006,                   0,             0.01113,             0.01113,             0.01113
