               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086837,            0.040763,                   0,           0.0033895,                   1,             0.12369,            0.042837,            0.075551,            0.023238,                   0,            0.076311,           0.0004804,           0.0004804
                   1,            0.080345,            0.039891,                   0,           0.0033333,                   1,            0.093408,            0.032344,             0.06876,            0.021835,                   0,             0.07296,           0.0010788,           0.0010788
                   2,            0.069438,             0.04097,                   0,             0.49309,                 0.1,             0.35265,             0.10444,            0.052723,            0.023302,                   0,            0.069606,           0.0016747,           0.0016747
                   3,             0.06039,            0.045197,                   0,              0.5392,             0.42222,             0.55029,              0.2073,             0.05182,            0.022298,                   0,             0.06625,           0.0022683,           0.0022683
                   4,            0.053269,            0.044882,                   0,             0.49671,             0.33998,             0.43225,             0.16604,            0.046266,            0.023381,                   0,            0.062892,           0.0028596,           0.0028596
                   5,            0.047622,            0.047543,                   0,             0.43559,             0.32222,               0.353,            0.098373,            0.041898,            0.024393,                   0,            0.059531,           0.0034484,           0.0034484
                   6,             0.04535,            0.044291,                   0,             0.21136,             0.16667,             0.13575,            0.030763,            0.056656,            0.021053,                   0,            0.056168,           0.0040349,           0.0040349
                   7,            0.042462,            0.046664,                   0,             0.32477,             0.52222,             0.29738,             0.10077,             0.04332,            0.022626,                   0,            0.052803,            0.004619,            0.004619
                   8,            0.042238,               0.044,                   0,             0.67155,             0.63333,             0.67819,             0.18934,            0.043939,            0.022282,                   0,            0.049435,           0.0052007,           0.0052007
                   9,            0.040994,            0.042749,                   0,             0.82803,             0.90948,             0.88027,             0.29821,             0.03661,            0.022689,                   0,            0.046065,           0.0057801,           0.0057801
                  10,            0.043763,            0.043032,                   0,             0.51348,             0.91471,             0.60267,             0.32443,            0.045698,            0.019744,                   0,            0.042692,            0.006357,            0.006357
                  11,            0.041728,            0.040622,                   0,             0.58851,             0.88992,             0.65752,             0.31029,            0.043312,            0.019329,                   0,            0.039318,           0.0069316,           0.0069316
                  12,            0.041901,            0.040068,                   0,              0.9065,             0.96958,             0.96193,             0.64273,            0.041178,            0.018301,                   0,             0.03594,           0.0075038,           0.0075038
                  13,            0.041242,            0.039202,                   0,             0.76324,             0.93333,             0.88637,             0.42999,            0.028947,            0.020574,                   0,            0.032561,           0.0080737,           0.0080737
                  14,            0.041395,            0.038291,                   0,             0.68522,              0.9433,             0.70081,             0.28078,            0.056749,            0.015009,                   0,            0.029179,           0.0086411,           0.0086411
                  15,            0.040031,            0.035859,                   0,             0.90567,             0.94444,             0.95372,             0.23686,            0.048117,            0.015394,                   0,            0.025794,           0.0092062,           0.0092062
                  16,            0.040032,            0.036057,                   0,             0.96434,             0.98889,             0.99302,             0.70013,            0.029468,            0.017801,                   0,            0.022407,           0.0097689,           0.0097689
                  17,            0.037642,            0.035587,                   0,             0.96724,             0.98417,             0.99049,             0.38992,             0.04365,            0.015799,                   0,            0.019018,            0.010329,            0.010329
                  18,            0.039651,            0.034259,                   0,             0.91838,             0.98889,             0.97297,             0.54118,            0.030133,            0.016979,                   0,            0.015627,            0.010887,            0.010887
                  19,             0.03732,            0.032868,                   0,             0.84756,             0.86491,             0.86239,             0.25895,             0.04871,            0.013819,                   0,            0.012233,            0.011443,            0.011443
                  20,             0.03839,            0.032678,                   0,             0.99553,             0.97778,             0.99416,              0.6474,            0.032555,            0.016471,                   0,            0.011535,            0.011535,            0.011535
                  21,            0.036587,            0.030406,                   0,             0.86518,                   1,             0.90862,             0.48558,             0.02626,             0.01609,                   0,            0.011535,            0.011535,            0.011535
                  22,            0.035507,            0.030876,                   0,             0.94623,                   1,             0.94956,             0.62573,            0.025571,            0.014525,                   0,            0.011511,            0.011511,            0.011511
                  23,            0.034853,            0.029114,                   0,              0.9987,             0.98889,             0.99489,             0.53397,            0.033211,            0.014076,                   0,            0.011487,            0.011487,            0.011487
                  24,            0.033216,            0.027286,                   0,             0.99748,                   1,               0.995,             0.69458,            0.025133,            0.016224,                   0,            0.011463,            0.011463,            0.011463
                  25,             0.03311,            0.026094,                   0,             0.99661,             0.98889,             0.99489,             0.59374,            0.033702,            0.015837,                   0,            0.011439,            0.011439,            0.011439
                  26,            0.031133,            0.024889,                   0,             0.94576,             0.96875,             0.98795,              0.5932,            0.024486,            0.013566,                   0,            0.011416,            0.011416,            0.011416
                  27,            0.031378,            0.023994,                   0,             0.97671,                   1,               0.995,             0.69429,            0.029389,            0.011973,                   0,            0.011392,            0.011392,            0.011392
                  28,            0.031031,            0.024399,                   0,             0.98477,                   1,             0.99456,             0.66112,             0.02343,            0.011305,                   0,            0.011368,            0.011368,            0.011368
                  29,            0.032156,            0.022999,                   0,              0.9937,                   1,               0.995,              0.5708,            0.026727,            0.012522,                   0,            0.011344,            0.011344,            0.011344
                  30,            0.030453,            0.022337,                   0,             0.84415,             0.96298,             0.97619,             0.66714,            0.041258,            0.014317,                   0,            0.011321,            0.011321,            0.011321
                  31,            0.030787,            0.021942,                   0,             0.98339,                   1,               0.995,             0.71256,            0.027162,            0.014698,                   0,            0.011297,            0.011297,            0.011297
                  32,            0.028568,            0.021911,                   0,                0.94,             0.98889,             0.99372,             0.64312,            0.022102,            0.012402,                   0,            0.011273,            0.011273,            0.011273
                  33,            0.028426,            0.022432,                   0,             0.88837,             0.97274,             0.98467,             0.69295,             0.02227,            0.017896,                   0,            0.011249,            0.011249,            0.011249
                  34,            0.028871,            0.021632,                   0,              0.9842,                   1,             0.99335,             0.62321,            0.023908,            0.011321,                   0,            0.011226,            0.011226,            0.011226
                  35,            0.027654,            0.021149,                   0,             0.99762,                   1,               0.995,             0.72514,            0.020017,            0.010872,                   0,            0.011202,            0.011202,            0.011202
                  36,            0.027044,            0.019855,                   0,             0.99696,                   1,               0.995,             0.77083,            0.018496,            0.012171,                   0,            0.011178,            0.011178,            0.011178
                  37,            0.027651,            0.020443,                   0,             0.98781,                   1,               0.995,             0.67882,            0.030904,            0.011605,                   0,            0.011154,            0.011154,            0.011154
                  38,            0.029262,            0.019972,                   0,              0.9997,                   1,               0.995,             0.65008,            0.025272,           0.0093503,                   0,             0.01113,             0.01113,             0.01113
                  39,            0.028677,            0.019857,                   0,             0.99879,                   1,               0.995,             0.80805,             0.01813,            0.009378,                   0,            0.011107,            0.011107,            0.011107
                  40,            0.027501,            0.019769,                   0,             0.99864,             0.98889,             0.99489,             0.63497,            0.019807,            0.011131,                   0,            0.011083,            0.011083,            0.011083
                  41,             0.02653,            0.019848,                   0,             0.99903,                   1,               0.995,             0.56274,            0.021994,           0.0097634,                   0,            0.011059,            0.011059,            0.011059
                  42,            0.025605,            0.020622,                   0,             0.99868,                   1,               0.995,             0.67409,            0.027733,             0.01059,                   0,            0.011035,            0.011035,            0.011035
                  43,            0.026346,            0.020576,                   0,             0.99445,                   1,               0.995,             0.69088,            0.024682,           0.0098069,                   0,            0.011012,            0.011012,            0.011012
                  44,            0.026473,            0.019419,                   0,             0.99829,                   1,               0.995,             0.75913,            0.016416,            0.010192,                   0,            0.010988,            0.010988,            0.010988
                  45,             0.02484,            0.018497,                   0,             0.99922,                   1,               0.995,             0.84336,            0.020235,           0.0087574,                   0,            0.010964,            0.010964,            0.010964
                  46,            0.024971,            0.019203,                   0,             0.99835,                   1,               0.995,             0.69715,            0.020648,            0.010271,                   0,             0.01094,             0.01094,             0.01094
                  47,            0.024334,            0.018013,                   0,             0.99911,                   1,               0.995,             0.74343,            0.019127,           0.0088384,                   0,            0.010916,            0.010916,            0.010916
                  48,            0.023677,            0.017765,                   0,             0.99892,                   1,               0.995,             0.66633,            0.023329,           0.0092159,                   0,            0.010893,            0.010893,            0.010893
                  49,            0.022636,            0.018415,                   0,                   1,             0.98698,             0.99468,             0.83359,             0.01723,            0.013011,                   0,            0.010869,            0.010869,            0.010869
                  50,            0.023858,            0.019631,                   0,                   1,             0.95233,             0.98366,             0.63193,            0.020595,            0.011892,                   0,            0.010845,            0.010845,            0.010845
                  51,            0.022924,            0.017659,                   0,                   1,             0.99915,               0.995,             0.79547,            0.016946,           0.0086052,                   0,            0.010821,            0.010821,            0.010821
                  52,            0.023494,            0.018232,                   0,             0.99918,                   1,               0.995,             0.80639,            0.013277,           0.0081823,                   0,            0.010798,            0.010798,            0.010798
                  53,             0.02244,            0.018252,                   0,             0.99921,                   1,               0.995,             0.76134,             0.01869,           0.0086092,                   0,            0.010774,            0.010774,            0.010774
                  54,            0.024457,            0.017637,                   0,             0.99908,                   1,               0.995,             0.75745,            0.016683,            0.011607,                   0,             0.01075,             0.01075,             0.01075
                  55,            0.023029,             0.01927,                   0,             0.99921,                   1,               0.995,             0.82029,            0.014209,           0.0094906,                   0,            0.010726,            0.010726,            0.010726
                  56,            0.023432,            0.017538,                   0,             0.99901,                   1,               0.995,              0.8764,            0.013586,            0.010591,                   0,            0.010703,            0.010703,            0.010703
                  57,            0.019984,            0.021358,                   0,               0.999,                   1,               0.995,             0.87458,            0.013232,           0.0090993,                   0,            0.010679,            0.010679,            0.010679
                  58,            0.023144,             0.01742,                   0,             0.99907,                   1,               0.995,             0.68329,            0.024504,           0.0095974,                   0,            0.010655,            0.010655,            0.010655
