               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086833,            0.040763,                   0,           0.0033881,                   1,              0.1224,             0.04251,             0.07561,            0.023223,                   0,            0.076311,           0.0004804,           0.0004804
                   1,            0.080312,            0.039895,                   0,           0.0033333,                   1,            0.091916,            0.030074,            0.068468,            0.021875,                   0,            0.072961,           0.0010802,           0.0010802
                   2,            0.069489,             0.04093,                   0,           0.0040924,                   1,             0.29388,             0.10788,            0.054592,            0.022902,                   0,            0.069611,           0.0016792,           0.0016792
                   3,            0.060498,            0.045111,                   0,             0.53797,             0.24444,              0.4123,             0.17188,            0.048553,            0.023408,                   0,            0.066259,           0.0022774,           0.0022774
                   4,            0.052131,            0.045198,                   0,             0.40239,             0.36659,             0.40676,             0.14455,            0.052141,            0.022349,                   0,            0.062907,           0.0028748,           0.0028748
                   5,            0.048364,            0.046793,                   0,             0.26444,             0.43333,              0.3108,             0.10861,            0.048702,            0.022954,                   0,            0.059554,           0.0034714,           0.0034714
                   6,            0.043976,            0.044258,                   0,             0.49479,             0.58889,             0.52744,             0.18415,            0.043738,            0.022978,                   0,            0.056201,           0.0040672,           0.0040672
                   7,            0.044128,            0.045206,                   0,             0.36163,             0.62222,             0.34998,              0.1332,            0.041939,            0.022752,                   0,            0.052846,           0.0046623,           0.0046623
                   8,            0.043085,             0.04343,                   0,             0.43065,             0.63876,             0.44472,             0.11543,            0.051121,            0.020468,                   0,            0.049491,           0.0052565,           0.0052565
                   9,            0.042385,            0.042189,                   0,             0.56384,             0.83309,              0.6154,             0.30875,            0.032021,            0.023132,                   0,            0.046135,             0.00585,             0.00585
                  10,            0.043348,            0.042883,                   0,             0.59902,             0.82222,             0.64448,             0.15984,            0.060276,              0.0164,                   0,            0.042778,           0.0064426,           0.0064426
                  11,            0.042563,             0.03972,                   0,              0.6387,              0.9625,             0.73349,             0.37091,            0.028375,            0.021381,                   0,             0.03942,           0.0070345,           0.0070345
                  12,            0.042285,            0.039757,                   0,             0.61326,             0.91622,             0.75568,             0.39407,            0.043309,            0.017839,                   0,            0.036062,           0.0076255,           0.0076255
                  13,            0.043119,            0.037884,                   0,             0.77113,             0.94444,             0.80493,             0.35402,            0.037022,            0.018535,                   0,            0.032703,           0.0082158,           0.0082158
                  14,             0.04141,            0.037857,                   0,             0.52915,             0.93333,             0.67297,             0.28907,            0.051533,            0.015689,                   0,            0.029343,           0.0088053,           0.0088053
                  15,            0.040633,            0.035627,                   0,             0.79895,             0.93333,             0.90488,             0.52183,             0.04926,            0.014641,                   0,            0.025982,            0.009394,            0.009394
                  16,            0.040645,            0.035277,                   0,             0.93127,             0.90339,             0.93975,             0.45795,            0.026822,            0.018938,                   0,             0.02262,           0.0099819,           0.0099819
                  17,            0.038798,            0.034697,                   0,             0.50281,             0.85556,             0.58682,             0.30502,            0.040786,             0.01644,                   0,            0.019258,            0.010569,            0.010569
                  18,            0.036342,            0.035636,                   0,              0.8015,             0.84444,             0.85924,             0.31295,            0.039613,            0.015811,                   0,            0.015895,            0.011155,            0.011155
                  19,             0.03786,            0.032047,                   0,             0.50105,             0.99307,             0.63049,             0.29882,            0.035957,            0.015013,                   0,            0.012531,            0.011741,            0.011741
                  20,            0.039228,            0.031187,                   0,             0.97805,                   1,             0.99189,             0.64739,             0.02484,            0.014934,                   0,            0.011852,            0.011852,            0.011852
                  21,            0.036286,            0.029992,                   0,             0.64978,              0.9895,             0.75575,             0.50154,            0.023589,            0.015582,                   0,            0.011852,            0.011852,            0.011852
                  22,            0.035977,            0.029637,                   0,              0.5628,             0.98889,             0.67114,             0.31134,            0.033443,            0.014442,                   0,            0.011844,            0.011844,            0.011844
                  23,            0.037346,            0.027824,                   0,             0.97776,                   1,               0.995,              0.4851,            0.038621,            0.013519,                   0,            0.011836,            0.011836,            0.011836
                  24,            0.035691,            0.025072,                   0,             0.99033,                   1,               0.995,             0.61347,            0.029339,            0.015677,                   0,            0.011828,            0.011828,            0.011828
                  25,            0.032955,            0.024862,                   0,             0.98734,                   1,               0.995,             0.58437,            0.031129,            0.012226,                   0,             0.01182,             0.01182,             0.01182
                  26,            0.032492,            0.023029,                   0,                   1,             0.98521,               0.995,             0.60613,            0.030798,            0.016305,                   0,            0.011812,            0.011812,            0.011812
                  27,            0.032118,            0.023113,                   0,                   1,             0.94581,             0.98341,             0.60002,            0.028738,            0.013254,                   0,            0.011804,            0.011804,            0.011804
                  28,            0.033681,            0.022838,                   0,                   1,             0.98688,             0.99489,             0.75298,            0.025028,            0.011627,                   0,            0.011796,            0.011796,            0.011796
                  29,            0.033003,            0.023117,                   0,             0.99535,             0.97778,             0.98966,             0.70602,            0.036929,            0.013131,                   0,            0.011788,            0.011788,            0.011788
                  30,            0.031405,            0.021524,                   0,             0.89055,                   1,             0.99043,             0.62502,            0.030352,            0.014151,                   0,             0.01178,             0.01178,             0.01178
                  31,             0.03156,            0.021093,                   0,             0.99813,                   1,               0.995,             0.54331,            0.028034,            0.011582,                   0,            0.011772,            0.011772,            0.011772
                  32,            0.030807,            0.021823,                   0,              0.9988,                   1,               0.995,             0.63724,             0.02198,            0.012671,                   0,            0.011764,            0.011764,            0.011764
                  33,            0.030138,            0.021917,                   0,             0.99858,                   1,               0.995,             0.58119,            0.030754,            0.010473,                   0,            0.011756,            0.011756,            0.011756
                  34,            0.028763,            0.021096,                   0,             0.98648,                   1,             0.99093,             0.60676,            0.022196,            0.025075,                   0,            0.011749,            0.011749,            0.011749
                  35,             0.02772,            0.022213,                   0,             0.98979,                   1,               0.995,             0.71504,            0.022572,           0.0097357,                   0,            0.011741,            0.011741,            0.011741
                  36,            0.027848,            0.019536,                   0,             0.90823,                   1,             0.98718,             0.73346,            0.020674,            0.009129,                   0,            0.011733,            0.011733,            0.011733
                  37,            0.025646,            0.021184,                   0,             0.88826,                   1,             0.98527,             0.55754,            0.033761,            0.012726,                   0,            0.011725,            0.011725,            0.011725
                  38,            0.028331,            0.020293,                   0,             0.97903,                   1,             0.98896,             0.67022,            0.020948,           0.0095954,                   0,            0.011717,            0.011717,            0.011717
                  39,             0.02713,            0.020293,                   0,             0.99905,                   1,               0.995,             0.76952,            0.021433,            0.010601,                   0,            0.011709,            0.011709,            0.011709
                  40,            0.026015,            0.022097,                   0,             0.99831,                   1,               0.995,             0.83558,            0.016234,            0.011509,                   0,            0.011701,            0.011701,            0.011701
                  41,            0.025762,             0.02011,                   0,             0.89238,                   1,             0.98792,              0.6906,            0.028301,           0.0093997,                   0,            0.011693,            0.011693,            0.011693
                  42,            0.025736,             0.02048,                   0,             0.99904,                   1,               0.995,             0.68903,            0.020782,            0.011451,                   0,            0.011685,            0.011685,            0.011685
                  43,            0.025231,            0.019828,                   0,             0.99903,                   1,               0.995,             0.67694,            0.021172,            0.010034,                   0,            0.011677,            0.011677,            0.011677
                  44,            0.026791,            0.019159,                   0,             0.99864,                   1,               0.995,             0.72818,            0.020974,           0.0092021,                   0,            0.011669,            0.011669,            0.011669
                  45,            0.025779,              0.0183,                   0,             0.99895,                   1,               0.995,             0.81464,            0.019712,           0.0091033,                   0,            0.011661,            0.011661,            0.011661
                  46,             0.02496,            0.019506,                   0,             0.99664,                   1,               0.995,             0.79342,             0.01417,           0.0090539,                   0,            0.011653,            0.011653,            0.011653
                  47,            0.024147,            0.018788,                   0,              0.9951,                   1,               0.995,             0.59062,            0.021664,           0.0090796,                   0,            0.011645,            0.011645,            0.011645
                  48,            0.024486,            0.017734,                   0,             0.92611,             0.97489,              0.9885,             0.67038,            0.022715,           0.0093958,                   0,            0.011638,            0.011638,            0.011638
                  49,            0.024212,            0.018609,                   0,             0.99871,                   1,               0.995,             0.54948,            0.023461,            0.012119,                   0,             0.01163,             0.01163,             0.01163
                  50,            0.024216,            0.018518,                   0,              0.9988,                   1,               0.995,             0.75034,            0.017022,            0.012343,                   0,            0.011622,            0.011622,            0.011622
                  51,            0.023937,            0.018762,                   0,             0.99663,             0.98889,             0.99489,             0.56483,            0.022628,            0.010868,                   0,            0.011614,            0.011614,            0.011614
                  52,            0.024777,            0.019121,                   0,             0.99907,                   1,               0.995,             0.86805,            0.013721,           0.0089294,                   0,            0.011606,            0.011606,            0.011606
                  53,            0.025547,            0.019038,                   0,             0.96558,                   1,             0.99131,             0.67415,            0.018648,            0.010277,                   0,            0.011598,            0.011598,            0.011598
                  54,            0.023724,            0.017608,                   0,             0.96756,             0.99432,              0.9857,             0.72181,            0.017657,            0.010337,                   0,             0.01159,             0.01159,             0.01159
                  55,             0.02471,            0.017426,                   0,             0.99914,                   1,               0.995,             0.79883,            0.015215,           0.0089353,                   0,            0.011582,            0.011582,            0.011582
                  56,            0.021752,            0.017363,                   0,             0.99915,                   1,               0.995,             0.83944,            0.014477,           0.0093029,                   0,            0.011574,            0.011574,            0.011574
                  57,            0.023583,            0.018574,                   0,             0.99892,                   1,               0.995,             0.77106,            0.017907,           0.0088839,                   0,            0.011566,            0.011566,            0.011566
                  58,            0.024409,            0.017246,                   0,                   1,             0.99976,               0.995,             0.84223,            0.016123,           0.0087831,                   0,            0.011558,            0.011558,            0.011558
                  59,            0.022944,            0.017421,                   0,             0.99906,                   1,               0.995,             0.70924,            0.018188,           0.0094215,                   0,             0.01155,             0.01155,             0.01155
                  60,            0.024203,            0.018175,                   0,             0.99895,                   1,               0.995,             0.84546,            0.012768,           0.0089452,                   0,            0.011542,            0.011542,            0.011542
                  61,            0.022174,            0.018088,                   0,             0.99869,                   1,               0.995,             0.82315,            0.014589,            0.010356,                   0,            0.011535,            0.011535,            0.011535
                  62,            0.024087,            0.017347,                   0,             0.99903,                   1,               0.995,             0.77589,            0.017462,           0.0093997,                   0,            0.011527,            0.011527,            0.011527
                  63,             0.02317,            0.017538,                   0,             0.99908,                   1,               0.995,             0.77907,            0.013413,            0.011285,                   0,            0.011519,            0.011519,            0.011519
                  64,            0.021429,            0.017753,                   0,             0.99914,                   1,               0.995,             0.74852,            0.023792,           0.0085558,                   0,            0.011511,            0.011511,            0.011511
                  65,            0.021986,            0.016971,                   0,             0.99894,                   1,               0.995,             0.79646,            0.015744,           0.0086961,                   0,            0.011503,            0.011503,            0.011503
                  66,            0.022657,            0.016732,                   0,             0.99911,                   1,               0.995,             0.82316,            0.018406,           0.0075716,                   0,            0.011495,            0.011495,            0.011495
                  67,            0.022866,            0.015979,                   0,             0.99908,                   1,               0.995,             0.75261,             0.01446,            0.010787,                   0,            0.011487,            0.011487,            0.011487
                  68,            0.021598,            0.017794,                   0,             0.99915,                   1,               0.995,             0.79153,            0.017661,           0.0088523,                   0,            0.011479,            0.011479,            0.011479
                  69,             0.02236,              0.0179,                   0,             0.99912,                   1,               0.995,             0.71985,            0.019758,            0.010012,                   0,            0.011471,            0.011471,            0.011471
                  70,            0.021126,            0.016896,                   0,             0.99918,                   1,               0.995,             0.82037,             0.01773,            0.011123,                   0,            0.011463,            0.011463,            0.011463
                  71,            0.020771,            0.015846,                   0,             0.99918,                   1,               0.995,             0.75575,            0.018118,           0.0098009,                   0,            0.011455,            0.011455,            0.011455
                  72,            0.019319,            0.017393,                   0,              0.9991,                   1,               0.995,             0.80088,            0.019453,           0.0093543,                   0,            0.011447,            0.011447,            0.011447
                  73,            0.019381,            0.016954,                   0,             0.99934,                   1,               0.995,             0.66102,            0.021374,           0.0090163,                   0,            0.011439,            0.011439,            0.011439
                  74,            0.021955,            0.017522,                   0,                   1,             0.99977,               0.995,             0.82325,             0.01558,           0.0096665,                   0,            0.011432,            0.011432,            0.011432
                  75,            0.021509,            0.016818,                   0,             0.99918,                   1,               0.995,             0.77456,            0.017083,           0.0091191,                   0,            0.011424,            0.011424,            0.011424
                  76,             0.02146,            0.016982,                   0,             0.99915,                   1,               0.995,             0.90167,            0.011775,           0.0086072,                   0,            0.011416,            0.011416,            0.011416
                  77,            0.020895,            0.016685,                   0,             0.99918,                   1,               0.995,             0.64115,             0.02168,           0.0090558,                   0,            0.011408,            0.011408,            0.011408
                  78,             0.02032,            0.016533,                   0,             0.99914,                   1,               0.995,             0.79241,            0.015815,           0.0076447,                   0,              0.0114,              0.0114,              0.0114
                  79,            0.019812,            0.016213,                   0,             0.99921,                   1,               0.995,              0.7755,            0.016536,           0.0078661,                   0,            0.011392,            0.011392,            0.011392
                  80,            0.019221,            0.017044,                   0,             0.99911,                   1,               0.995,              0.8337,            0.011064,           0.0090045,                   0,            0.011384,            0.011384,            0.011384
                  81,            0.019042,            0.017856,                   0,              0.9991,                   1,               0.995,             0.86677,            0.015319,           0.0077791,                   0,            0.011376,            0.011376,            0.011376
                  82,            0.020654,            0.015717,                   0,             0.99946,                   1,               0.995,             0.79525,            0.012817,           0.0077198,                   0,            0.011368,            0.011368,            0.011368
                  83,            0.019491,            0.015878,                   0,             0.99926,                   1,               0.995,             0.84728,            0.011697,           0.0081427,                   0,             0.01136,             0.01136,             0.01136
