               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10871,            0.037689,                   0,            0.042839,              0.0625,             0.03043,           0.0078124,             0.11092,            0.026011,                   0,            0.090318,           0.0004808,           0.0004808
                   1,             0.10395,            0.038646,                   0,             0.13881,              0.0125,            0.018495,           0.0042816,             0.10487,             0.02376,                   0,            0.086239,           0.0010811,           0.0010811
                   2,            0.093194,            0.039112,                   0,             0.00773,              0.8875,             0.02444,           0.0061622,             0.09226,             0.02388,                   0,            0.082159,           0.0016806,           0.0016806
                   3,             0.08218,            0.041294,                   0,            0.023828,              0.7875,            0.079838,            0.022805,            0.068887,            0.026943,                   0,            0.078079,           0.0022793,           0.0022793
                   4,            0.070981,            0.044127,                   0,             0.27493,              0.4875,             0.30083,              0.1053,            0.059983,            0.027872,                   0,            0.073998,           0.0028772,           0.0028772
                   5,            0.063816,            0.046774,                   0,             0.52004,             0.25741,             0.33142,             0.11054,             0.06074,            0.026845,                   0,            0.069916,           0.0034743,           0.0034743
                   6,            0.058722,            0.046735,                   0,             0.36445,             0.15054,             0.30449,             0.10651,             0.06346,            0.025912,                   0,            0.065833,           0.0040706,           0.0040706
                   7,            0.056813,            0.043251,                   0,             0.37648,              0.4875,             0.39641,             0.12487,             0.06647,            0.024583,                   0,             0.06175,           0.0046661,           0.0046661
                   8,            0.053442,            0.044422,                   0,             0.50516,             0.52321,             0.45713,             0.17832,            0.047928,            0.027974,                   0,            0.057666,           0.0052609,           0.0052609
                   9,            0.052191,            0.044722,                   0,             0.19451,                 0.4,             0.21639,             0.04631,            0.074987,            0.022328,                   0,            0.053581,           0.0058548,           0.0058548
                  10,            0.052755,             0.04065,                   0,             0.58485,               0.475,              0.5424,             0.20318,            0.040911,            0.028039,                   0,            0.049495,            0.006448,            0.006448
                  11,            0.050376,            0.043361,                   0,             0.46844,              0.5375,             0.47674,             0.16671,            0.060319,            0.023789,                   0,            0.045408,           0.0070403,           0.0070403
                  12,            0.051505,             0.04095,                   0,             0.55724,              0.5349,             0.54132,             0.21857,            0.040926,            0.027136,                   0,            0.041321,           0.0076319,           0.0076319
                  13,            0.049185,            0.043211,                   0,             0.43738,             0.41789,             0.46589,             0.11903,            0.058971,            0.023297,                   0,            0.037232,           0.0082226,           0.0082226
                  14,            0.049428,             0.04126,                   0,             0.67152,               0.575,             0.66616,             0.29352,            0.044501,            0.025461,                   0,            0.033143,           0.0088126,           0.0088126
                  15,             0.04466,            0.040186,                   0,             0.36018,               0.525,              0.3624,             0.14353,            0.044122,            0.025716,                   0,            0.029054,           0.0094018,           0.0094018
                  16,            0.044061,            0.040986,                   0,             0.42337,                 0.5,                0.45,             0.14027,             0.04759,            0.022794,                   0,            0.024963,           0.0099902,           0.0099902
                  17,            0.045973,            0.037835,                   0,             0.59931,             0.63569,             0.57187,             0.24882,            0.045619,               0.024,                   0,            0.020872,            0.010578,            0.010578
                  18,            0.042795,            0.039832,                   0,             0.59286,              0.5097,             0.51185,             0.19964,            0.045802,             0.02396,                   0,            0.016779,            0.011165,            0.011165
                  19,             0.04093,            0.037023,                   0,             0.70916,              0.6125,             0.72057,             0.27376,            0.051437,            0.021847,                   0,            0.012686,            0.011751,            0.011751
                  20,            0.039384,            0.035722,                   0,             0.57076,              0.6625,              0.6303,             0.29301,            0.036348,            0.026808,                   0,            0.011861,            0.011861,            0.011861
                  21,            0.037891,            0.035241,                   0,             0.55756,              0.4411,             0.46885,             0.14531,            0.048534,             0.03936,                   0,            0.011861,            0.011861,            0.011861
                  22,            0.038578,            0.034484,                   0,             0.55561,              0.3595,             0.50885,             0.16569,            0.048008,            0.039848,                   0,            0.011853,            0.011853,            0.011853
                  23,            0.035674,            0.033977,                   0,             0.62777,             0.46381,             0.54732,             0.18679,            0.042325,            0.077606,                   0,            0.011845,            0.011845,            0.011845
                  24,            0.035849,            0.034238,                   0,             0.39004,                 0.4,             0.30068,            0.096118,             0.05009,             0.11761,                   0,            0.011838,            0.011838,            0.011838
                  25,            0.032724,            0.034521,                   0,              0.2309,               0.225,               0.136,            0.033063,            0.069544,             0.19534,                   0,             0.01183,             0.01183,             0.01183
